Player_name,Player_height(in),Player_weight,Player_years_experience,Player_age,Games_played,Shots_per_game,Shot_attempts,Shots_made,FG%,Three_attempts,Threes_made,Three%
Aaron Brooks,73,161.0,7,30,60,9.2,552,228,0.413,211,85,0.4028
Aaron Gordon,81,220.0,0,19,26,3.96,103,54,0.5243,20,9,0.45
Al Horford,82,245.0,7,29,55,12.44,684,374,0.5468,28,9,0.3214
Al Jefferson,82,289.0,10,30,50,15.9,795,380,0.478,3,2,0.6667
Al-Farouq Aminu,81,220.0,4,24,54,4.76,257,110,0.428,95,26,0.2737
Alan Anderson,78,220.0,9,32,58,5.78,335,144,0.4299,173,59,0.341
Alex Len,85,260.0,1,22,58,5.14,298,158,0.5302,3,1,0.3333
Alexis Ajinca,86,248.0,6,27,44,4.73,208,123,0.5913,0,0,
Allen Crabbe,78,210.0,1,23,30,2.9,87,37,0.4253,52,20,0.3846
Alonzo Gee,78,225.0,5,28,35,3.69,129,63,0.4884,24,11,0.4583
Amar'e Stoudemire,82,245.0,12,32,39,8.38,327,181,0.5535,3,0,0.0
Amir Johnson,81,240.0,9,28,57,6.93,395,229,0.5797,34,14,0.4118
Andre Drummond,83,279.0,2,22,60,11.0,660,338,0.5121,1,0,0.0
Andre Iguodala,78,215.0,10,31,56,6.09,341,157,0.4604,144,51,0.3542
Andre Miller,75,200.0,15,39,50,3.34,167,92,0.5509,10,1,0.1
Andre Roberson,79,210.0,1,23,45,3.73,168,77,0.4583,67,17,0.2537
Andrew Bogut,85,260.0,9,30,44,5.34,235,131,0.5574,0,0,
Andrew Wiggins,80,199.0,0,20,59,13.51,797,348,0.4366,101,34,0.3366
Anthony Bennett,80,245.0,1,22,49,5.59,274,114,0.4161,17,5,0.2941
Anthony Davis,82,253.0,2,22,49,16.96,831,453,0.5451,9,1,0.1111
Anthony Morrow,77,210.0,6,29,53,7.74,410,182,0.4439,202,78,0.3861
Aron Baynes,82,260.0,2,28,50,4.94,247,137,0.5547,3,1,0.3333
Arron Afflalo,77,210.0,7,29,57,11.91,679,292,0.43,255,89,0.349
Avery Bradley,74,180.0,4,24,58,12.9,748,322,0.4305,250,91,0.364
Ben Gordon,75,200.0,10,32,47,5.4,254,112,0.4409,82,30,0.3659
Ben McLemore,77,195.0,1,22,59,9.8,578,254,0.4394,285,103,0.3614
Beno Udrih,75,205.0,10,33,55,6.25,344,170,0.4942,74,17,0.2297
Bismack Biyombo,81,255.0,3,23,32,3.56,114,64,0.5614,0,0,
Blake Griffin,82,251.0,4,26,51,17.43,889,444,0.4994,21,8,0.381
Bojan Bogdanovic,80,216.0,0,26,54,6.52,352,146,0.4148,166,50,0.3012
Boris Diaw,80,250.0,11,33,58,7.28,422,190,0.4502,120,40,0.3333
