name,year_start,year_end,position,height(in),weight,birth_date,college
A.C. Green,1986,2001,F-C,81,220,4-Oct-63,Oregon State University
A.J. Bramlett,2000,2000,C,82,227,10-Jan-77,University of Arizona
A.J. English,1991,1992,G,75,175,11-Jul-67,Virginia Union University
A.J. Guyton,2001,2003,G,73,180,12-Feb-78,Indiana University
A.J. Hammons,2017,2017,C,85,260,27-Aug-92,Purdue University
A.J. Price,2010,2015,G,74,181,7-Oct-86,University of Connecticut
A.J. Wynder,1991,1991,G,74,180,11-Sep-64,Fairfield University
A.W. Holt,1971,1971,F,79,210,26-Aug-46,Jackson State University
Aaron Brooks,2008,2018,G,73,161,14-Jan-85,University of Oregon
Aaron Gordon,2015,2018,F,81,220,16-Sep-95,University of Arizona
Aaron Gray,2008,2014,C,85,270,7-Dec-84,University of Pittsburgh
Aaron Harrison,2016,2017,G,78,210,28-Oct-94,University of Kentucky
Aaron James,1975,1979,F,80,210,5-Oct-52,Grambling State University
Aaron McKie,1995,2007,G,77,209,2-Oct-72,Temple University
Aaron Miles,2006,2006,G,73,175,13-Apr-83,University of Kansas
Aaron Swinson,1995,1995,F,77,230,9-Jan-71,Auburn University
Aaron Williams,1994,2008,F-C,81,220,2-Oct-71,Xavier University
Abdel Nader,2018,2018,F,78,230,25-Sep-93,Iowa State University
Abdul Jeelani,1980,1981,F-C,80,210,10-Feb-54,University of Wisconsin-Parkside
Acie Earl,1994,1997,F-C,82,240,23-Jun-70,University of Iowa
Acie Law,2008,2011,G,75,195,25-Jan-85,Texas A&M University
Adam Harrington,2003,2003,G,77,200,5-Jul-80,Auburn University
Adam Keefe,1993,2001,F,81,230,22-Feb-70,Stanford University
Adam Morrison,2007,2010,F,80,205,19-Jul-84,Gonzaga University
Adonal Foyle,1998,2009,C,82,250,9-Mar-75,Colgate University
Adonis Jordan,1994,1999,G,71,170,21-Aug-70,University of Kansas
Adonis Thomas,2014,2014,F,79,200,25-Mar-93,University of Memphis
Adreian Payne,2015,2018,F-C,82,237,19-Feb-91,Michigan State University
Adrian Branch,1987,1990,F-G,79,185,17-Nov-63,University of Maryland
Adrian Caldwell,1990,1998,F-C,80,265,4-Jul-66,Lamar University
